"Date","Price","Open","High","Low","Vol.","Change %"
"29/06/2018","28,726.0","28,254.0","28,765.0","28,118.0","228.14K","1.14%"
"03/07/2018","28,317.0","28,713.0","28,755.0","27,775.0","305.87K","-1.42%"
"04/07/2018","28,046.0","28,335.0","28,487.0","27,928.0","240.71K","-0.96%"
"05/07/2018","28,197.0","28,047.0","28,260.0","27,720.0","253.64K","0.54%"
"06/07/2018","28,220.0","28,193.0","28,493.0","27,820.0","305.85K","0.08%"
"09/07/2018","28,725.0","28,190.0","28,849.0","28,089.0","220.22K","1.79%"
"10/07/2018","28,653.0","28,721.0","29,013.0","28,560.0","227.88K","-0.25%"
"11/07/2018","28,288.0","28,619.0","28,699.0","27,892.0","241.93K","-1.27%"
"12/07/2018","28,487.0","28,295.0","28,632.0","28,162.0","203.61K","0.70%"
"13/07/2018","28,558.0","28,500.0","28,769.0","28,460.0","170.94K","0.25%"
"16/07/2018","28,510.0","28,548.0","28,702.0","28,300.0","200.19K","-0.17%"
"17/07/2018","28,194.0","28,513.0","28,534.0","28,121.0","186.60K","-1.11%"
"18/07/2018","28,077.0","28,208.0","28,410.0","28,012.0","204.55K","-0.41%"
"19/07/2018","28,039.0","28,087.0","28,315.0","27,954.0","192.11K","-0.14%"
"20/07/2018","28,224.0","28,026.0","28,299.0","27,732.0","251.67K","0.66%"
"23/07/2018","28,209.0","28,238.0","28,382.0","28,019.0","223.83K","-0.05%"
"24/07/2018","28,643.0","28,212.0","28,713.0","28,164.0","187.23K","1.54%"
"25/07/2018","28,909.0","28,645.0","28,973.0","28,645.0","216.58K","0.93%"
"26/07/2018","28,743.0","28,912.0","29,113.0","28,616.0","239.32K","-0.57%"
"27/07/2018","28,729.0","28,745.0","28,836.0","28,587.0","170.08K","-0.05%"
"30/07/2018","28,644.0","28,715.0","28,837.0","28,582.0","29.41K","-0.30%"
"31/07/2018","28,433.0","28,679.0","28,793.0","28,423.0","173.58K","-0.74%"
"01/08/2018","28,295.0","28,450.0","28,828.0","28,163.0","214.39K","-0.49%"
"02/08/2018","27,605.0","28,284.0","28,334.0","27,500.0","245.58K","-2.44%"
"03/08/2018","27,613.0","27,581.0","27,758.0","27,444.0","201.31K","0.03%"
"06/08/2018","27,728.0","27,609.0","28,016.0","27,609.0","217.63K","0.42%"
"07/08/2018","28,204.0","27,720.0","28,234.0","27,701.0","208.78K","1.72%"
"08/08/2018","28,234.0","28,218.0","28,374.0","28,142.0","187.09K","0.11%"
"09/08/2018","28,531.0","28,226.0","28,659.0","28,060.0","207.74K","1.05%"
"10/08/2018","28,213.0","28,536.0","28,646.0","28,173.0","174.99K","-1.11%"
