Date,Close,High,Low,Open,Volume,Returns
2016-01-04,21327.119140625,21794.83984375,21227.609375,21782.619140625,1712100000,0.0
2016-01-05,21188.720703125,21452.740234375,21095.900390625,21318.689453125,1484700000,-0.00648931703280875
2016-01-06,20980.810546875,21199.619140625,20947.30078125,21142.630859375,1651100000,-0.00981230340250494
2016-01-07,20333.33984375,20826.439453125,20323.970703125,20772.599609375,2982000000,-0.03086013772816032
2016-01-08,20453.7109375,20596.419921875,20324.619140625,20491.880859375,2078100000,0.005919887961101544
2016-01-11,19888.5,20068.779296875,19865.1796875,19997.419921875,2127800000,-0.027633662137257375
2016-01-12,19711.759765625,20130.80078125,19694.990234375,20030.029296875,1834400000,-0.008886554258742518
2016-01-13,19934.880859375,20234.779296875,19850.73046875,20028.859375,1787100000,0.011319186942360115
2016-01-14,19817.41015625,19893.880859375,19509.080078125,19578.919921875,1783200000,-0.005892721604591644
2016-01-15,19520.76953125,19828.9296875,19500.380859375,19781.4609375,1932600000,-0.014968687768035394
2016-01-18,19237.44921875,19439.490234375,19195.560546875,19287.380859375,2038600000,-0.014513788098693747
2016-01-19,19635.810546875,19647.75,19204.220703125,19283.5703125,1825400000,0.020707596084866164
2016-01-20,18886.30078125,19332.220703125,18833.880859375,19332.220703125,2459500000,-0.038170553939484986
2016-01-21,18542.150390625,19238.26953125,18534.30078125,19079.130859375,2608400000,-0.018222223325314535
2016-01-22,19080.509765625,19152.80078125,18769.609375,19000.7890625,2388400000,0.02903435489727224
2016-01-25,19340.140625,19490.26953125,19291.91015625,19341.41015625,1776800000,0.013607123843344393
2016-01-26,18860.80078125,19098.0703125,18811.830078125,19068.83984375,1873200000,-0.024784713464305552
2016-01-27,19052.44921875,19216.990234375,18931.33984375,19211.859375,1929900000,0.010161203637256033
2016-01-28,19195.830078125,19223.58984375,18982.220703125,19093.76953125,1941800000,0.007525586748915014
2016-01-29,19683.109375,19709.990234375,19130.58984375,19138.419921875,2350200000,0.025384643169470866
2016-02-01,19595.5,19770.9609375,19444.259765625,19770.9609375,1596500000,-0.004450992642009877
2016-02-02,19446.83984375,19628.5703125,19403.490234375,19474.869140625,1783500000,-0.0075864436350182585
2016-02-03,18991.58984375,19032.7109375,18764.8203125,18910.880859375,2126500000,-0.023409973222272007
2016-02-04,19183.08984375,19338.369140625,19166.1796875,19190.359375,1557000000,0.010083410687337535
2016-02-05,19288.169921875,19397.880859375,19230.0,19287.359375,1264800000,0.005477745190211714
2016-02-11,18545.80078125,18627.509765625,18446.560546875,18486.9296875,1868400000,-0.03848831400967012
2016-02-12,18319.580078125,18482.330078125,18278.80078125,18278.80078125,2019800000,-0.012197947437983414
2016-02-15,18918.140625,18937.060546875,18668.869140625,18668.869140625,1729300000,0.03267326785452518
2016-02-16,19122.080078125,19260.669921875,18974.599609375,19013.740234375,1869200000,0.010780100284036198
2016-02-17,18924.5703125,19308.5390625,18909.060546875,19198.1796875,1689500000,-0.010328884975800534
2016-02-18,19363.080078125,19436.390625,19266.220703125,19409.2109375,1843900000,0.023171451630548123
2016-02-19,19285.5,19342.029296875,19210.650390625,19238.4296875,1268700000,-0.004006598010852791
2016-02-22,19464.08984375,19524.970703125,19374.240234375,19374.240234375,1207500000,0.009260317012781627
2016-02-23,19414.779296875,19519.849609375,19328.259765625,19506.939453125,1225000000,-0.002533411388400131
2016-02-24,19192.44921875,19360.80078125,19060.16015625,19282.33984375,1302700000,-0.011451589262247541
2016-02-25,18888.75,19215.490234375,18867.69921875,19215.490234375,1395900000,-0.015823890702459265
2016-02-26,19364.150390625,19436.7109375,19122.560546875,19179.94921875,1633500000,0.02516844103633109
2016-02-29,19111.9296875,19377.720703125,19053.779296875,19366.169921875,1270400000,-0.013025136555803174
2016-03-01,19407.4609375,19420.0,19108.30078125,19259.990234375,1473900000,0.015463182150219579
2016-03-02,20003.490234375,20058.119140625,19783.919921875,19788.169921875,2455800000,0.03071134852696389
2016-03-03,19941.759765625,20082.009765625,19791.599609375,20082.009765625,1761700000,-0.0030859848969715387
2016-03-04,20176.69921875,20200.380859375,19977.4296875,20052.099609375,1907800000,0.011781279881326379
2016-03-07,20159.720703125,20331.689453125,20095.630859375,20306.08984375,1930200000,-0.0008414912390239948
2016-03-08,20011.580078125,20137.73046875,19902.75,20132.099609375,1449300000,-0.007348347091784668
2016-03-09,19996.259765625,20005.41015625,19818.419921875,19898.740234375,1202800000,-0.0007655723556155847
2016-03-10,19984.419921875,20184.23046875,19923.5390625,20055.419921875,1384600000,-0.0005921029176843007
2016-03-11,20199.599609375,20238.720703125,19853.630859375,19900.669921875,1970700000,0.0107673722000039
2016-03-14,20435.33984375,20512.029296875,20328.880859375,20371.58984375,1722900000,0.011670539957910231
2016-03-15,20288.76953125,20366.560546875,20254.58984375,20298.150390625,1193100000,-0.007172394176983898
2016-03-16,20257.69921875,20383.19921875,20168.740234375,20339.900390625,1213700000,-0.001531404477346121
2016-03-17,20503.810546875,20619.33984375,20435.650390625,20580.060546875,1696000000,0.012149026672150676
2016-03-18,20671.630859375,20687.970703125,20514.970703125,20599.189453125,2091600000,0.00818483530738523
2016-03-21,20684.150390625,20772.4609375,20618.560546875,20738.25,1520100000,0.0006056382941030947
2016-03-22,20666.75,20765.0703125,20576.80078125,20765.0703125,1303400000,-0.0008412427049885318
2016-03-23,20615.23046875,20693.48046875,20513.609375,20629.400390625,1185400000,-0.0024928704924577216
2016-03-24,20345.609375,20499.400390625,20268.529296875,20450.689453125,1460900000,-0.013078732937704007
2016-03-29,20366.30078125,20386.3203125,20250.150390625,20386.3203125,1303900000,0.0010169961424417728
2016-03-30,20803.390625,20820.73046875,20541.0703125,20545.439453125,2058700000,0.021461425343987983
2016-03-31,20776.69921875,20872.55078125,20689.220703125,20811.4609375,1781000000,-0.001283031537076651
2016-04-01,20498.919921875,20786.1796875,20455.41015625,20786.1796875,1633600000,-0.01336975108270888
2016-04-05,20177.0,20311.859375,20116.869140625,20311.859375,1876700000,-0.01570423822825273
2016-04-06,20206.669921875,20249.83984375,20100.0,20100.0,1338300000,0.0014704823251723287
2016-04-07,20266.05078125,20370.51953125,20165.759765625,20297.8203125,1493900000,0.0029386761700262998
2016-04-08,20370.400390625,20370.439453125,20045.470703125,20061.599609375,1435600000,0.005148985882910351
2016-04-11,20440.810546875,20550.94921875,20240.689453125,20255.83984375,1234200000,0.0034564934856364804
2016-04-12,20504.439453125,20546.4296875,20407.8203125,20440.720703125,997100000,0.0031128367490167452
2016-04-13,21158.7109375,21171.2890625,20716.91015625,20739.33984375,2500300000,0.03190877204279219
2016-04-14,21337.810546875,21511.080078125,21266.2109375,21456.609375,2054300000,0.008464580375620923
2016-04-15,21316.470703125,21423.060546875,21234.119140625,21374.650390625,1413600000,-0.0010000952863987722
2016-04-18,21161.5,21172.0,21002.76953125,21129.6796875,1426800000,-0.007269998175743142
2016-04-19,21436.2109375,21459.0390625,21259.169921875,21438.130859375,1462100000,0.01298163823452958
2016-04-20,21236.310546875,21452.8203125,21103.33984375,21452.8203125,1716700000,-0.009325360307744446
2016-04-21,21622.25,21634.740234375,21331.58984375,21406.400390625,1709100000,0.018173564201423575
2016-04-22,21467.0390625,21495.7890625,21358.529296875,21448.150390625,1282700000,-0.007178297240111431
2016-04-25,21304.439453125,21430.5703125,21254.4609375,21408.560546875,1200000000,-0.007574384567037962
2016-04-26,21407.26953125,21419.919921875,21080.880859375,21380.01953125,1346800000,0.004826697193852647
2016-04-27,21361.599609375,21442.509765625,21277.0390625,21372.330078125,1247200000,-0.0021333837932171473
2016-04-28,21388.029296875,21654.0703125,21255.419921875,21488.9609375,1684200000,0.0012372522649661821
2016-04-29,21067.05078125,21235.390625,21023.76953125,21215.19921875,1603100000,-0.015007390871299098
2016-05-03,20676.939453125,21061.76953125,20668.369140625,21061.76953125,1707700000,-0.01851760515393097
2016-05-04,20525.830078125,20580.380859375,20411.41015625,20556.5,1555900000,-0.007308111306442044
2016-05-05,20449.8203125,20534.759765625,20342.75,20363.859375,1355000000,-0.003703127490371605
2016-05-06,20109.869140625,20377.939453125,20058.76953125,20357.44921875,1725800000,-0.016623675253870318
2016-05-09,20156.810546875,20303.189453125,20125.779296875,20279.900390625,1323300000,0.0023342472256655533
2016-05-10,20242.6796875,20294.4609375,19962.4296875,19962.4296875,1446900000,0.004260055946118557
2016-05-11,20055.2890625,20347.759765625,20008.919921875,20347.759765625,1337900000,-0.009257204475537684
